name,latitude,longitude
Manisha Hospital,23.213357,77.3921666
Anupam Hospital,23.1724664,77.4170971
Bisoniya Hospital ,23.1825879,77.4363178
Physiotherapy & Ayurveda,23.1886998,77.4319555
"Shekhar Hospital, Bhopal",23.2016302,77.4263831
"Life Line Hospital, Bhopal",23.1984715,77.4264928
Lahoti Hospital ,23.1998518,77.429428
Bhopal Fracture Hospital ,23.2126452,77.4387892
Asha Niketan,23.2100099,77.440881
"Vardaan Hospital, Bhopal",23.2521256,77.4149495
"Khan Shakir ali khan aspataal, gas rahat, bhopal",23.2617176,77.4104527
Bhopal Eye Hospital,23.2682768,77.404835
Aastha Hospital,23.2324175,77.3944885
HAKIM SYED ZIAUL HASAN GOVERMENT UNANI MEDICAL COLLEGE AND HOSPITAL,23.2045252,77.4093707
GOVERMENT HOMEOPATHIC MEDICAL COLLEGE AND HOSPITAL,23.2037556,77.4091003
"Meenakshi Hospital, Bhopal",23.2133755,77.4299254
Prakash Eye Care and Laser Centre,23.2288798,77.4356157
Mata Mandir Netra Sewa Kendra,23.2242238,77.4019808
Kshitij Hospital,23.262956,77.3803829
Bhopal Care Hospital,23.2627832,77.3939585
G.S.M.Hospital,23.2301825,77.3937517
Central Hospital and Research Center,23.263933,77.393792
Narmada Advance Trauma and Critical care Institute,23.217648,77.4391609
"Pushkom Maternity and Nursing Home, Bhopal",23.2534681,77.4309044
Devmata Hospital,23.2684238,77.4731988
Shri Maya Maternity and General Hospital,23.1945312,77.4731706
Malti Hospital,23.2070006,77.4342786
Jayshree Hospital,23.2528588,77.3988064
Peoples General Hospital,23.2402937,77.4055132
Shubham Hospital Fracture Accident Care,23.2624533,77.3939529
Choudhary Hospital,23.2536634,77.4280921
Citi Hospital,23.2304819,77.4360924
Gour Hospital And Maternity Home,23.2548783,77.4043921
"Adarsh Hospital, Bhopal",23.2678041,77.3950513
Nilay Hospital,23.1911005,77.4503008
Parul Hospital Pvt Ltd,23.2274392,77.4320886
Bhopal Fracture Hospital,23.2128356,77.4391428
Shukla Hospital and Maternity Home,23.2198621,77.3957902
Hafeez Maternity Home and Eye Hospital,23.2481629,77.413765
Apex Hospital,23.2698098,77.4013451
Pranjal Hospital and Child Care Center,23.254938,77.4302284
Ajwani Eye Hospital,23.2696891,77.4013142
Anushree Hospital,23.2125817,77.4361414
"Nahar Nursing Home, Bhopal",23.2373436,77.4018855
Anantshree Multispeciality Hospital,23.2512606,77.459553
Venus Hospital and Medical Research Centre-Bhopal,23.2993465,77.403806
Aradhana Maternity And Kidney Hospital,23.250594,77.4717195
L.B.S Hospital,23.2649458,77.3937383
Chirayu Medical College and Hospital,23.2688064,77.3081296
"Yashoda Hospital, Bhopal",23.2652057,77.3936498
"Krishna Hospital, Bhopal",23.2523431,77.4155004
Faith and Hope Hospital,23.2343749,77.4025494
Jashdeep Hospital,23.2338401,77.3961577
Naman Hospital,23.1927209,77.433726
"Nav Jeevan Hospital, Bhopal",23.1948024,77.4704428
"Niramaya Hospital, Bhopal",23.2112407,77.432908
Ntr Hospital and Research Centre,23.2597415,77.4056527
Agrawal Hospital,23.2156753,77.4393775
Bhopal Memorial Hospital and Research Center,23.3003492,77.4166846
Noble Multispeciality Hospital,23.1614005,77.4705541
Navodaya Hospital And Research Centre,23.230265,77.436824
Akshaya Hospital,23.2174908,77.4236557
Paliwal Hospital Pvt. Ltd.,23.2303599,77.4440525
Rajdeep Hospital,23.2720029,77.3424774
"Sanjeevani Hospital, Bhopal",23.2641502,77.3937863
Sahara Fracture and General Hospital,23.1956985,77.4483964
Peoples Hospital,23.2988834,77.4251068
Sujyoti Hospital and Maternity Home,23.1916178,77.4365044
Dewani Hospital And Research Centre,23.210445,77.4315892
Pushpanjali Hsopital,23.2014132,77.4344569
Suyash Mother and Child Hospital,23.2083848,77.4180633
Global Liver and Gastroenterology Centre,23.2140521,77.429118
Asha Niketan Hospital,23.2102929,77.4396715
National Hospital For Heart and Critical Care,23.2169754,77.4360666
Ajwani Eye Tech Centre,23.2137751,77.4274743
"Charak Hospital/A Unit Of Mrityunjay Health Care Pvt Ltd,",23.251491,77.4151021
New Bhopal Hospital and Research Foundation,23.2283782,77.4364391
Sharda Hospital and Diagnostic Center,23.221521,77.3959123
Saarthi Hospital (Maternity and Urological Centre),23.2029589,77.4457088
Tanushree Female Hospital,23.2516574,77.4167892
